molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL314013,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,intermediate,7000.0
CHEMBL314013,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,intermediate,1800.0
CHEMBL18266,O=C(CCc1ccc(O)c(O)c1)NCCc1ccc(O)c(O)c1,intermediate,3000.0
CHEMBL131678,O=C(/C=C/c1cc(O)ccc1O)OCCc1ccccc1,inactive,100000.0
CHEMBL133937,N=c1oc2c(O)c(O)ccc2cc1C(N)=O,inactive,93000.0
CHEMBL284384,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,5500.0
CHEMBL284384,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,9200.0
CHEMBL284384,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,3700.0
CHEMBL284384,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,9500.0
CHEMBL284384,O=c1c(C(c2ccc(/C=C/c3ccccc3)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,7000.0
CHEMBL133642,COc1ccc(/C=C/C(=O)OCCc2ccccc2)cc1OC,inactive,100000.0
CHEMBL132194,O=C(CCc1ccccc1)NCCc1ccc(O)c(O)c1,inactive,100000.0
CHEMBL316387,O=c1c(C(c2ccc3ccccc3c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,19000.0
CHEMBL316387,O=c1c(C(c2ccc3ccccc3c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,20000.0
CHEMBL316387,O=c1c(C(c2ccc3ccccc3c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,16000.0
CHEMBL316387,O=c1c(C(c2ccc3ccccc3c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,9000.0
CHEMBL316387,O=c1c(C(c2ccc3ccccc3c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,20000.0
CHEMBL32810,O=c1cc(O)c2ccc(O)cc2o1,inactive,300000.0
CHEMBL32810,O=c1cc(O)c2ccc(O)cc2o1,inactive,325000.0
CHEMBL82742,O=c1oc2ccccc2c(O)c1C1c2c(c3ccccc3oc2=O)Oc2c1c(=O)oc1ccccc21,inactive,35700.0
CHEMBL82742,O=c1oc2ccccc2c(O)c1C1c2c(c3ccccc3oc2=O)Oc2c1c(=O)oc1ccccc21,inactive,22500.0
CHEMBL132238,O=C(OCCc1ccccc1)c1ccc2c(O)c(O)ccc2c1,inactive,18000.0
CHEMBL131749,O=C(/C=C/c1cc(O)c(O)cc1O)OCCc1ccccc1,inactive,55000.0
CHEMBL310293,O=c1c(C(c2ccc3c(c2)Cc2ccccc2-3)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,10000.0
